dataset,model,rmse,rank
pmlb/1027_ESL,AdaptiveStepLinear_v1,0.361302,9
pmlb/1027_ESL,DebiasedSparseLinear_v1,0.361241,7
pmlb/1027_ESL,SpectralRidgeCV_v1,0.361433,11
pmlb/1027_ESL,ResidualStumpRidge_v1,0.366426,21
pmlb/1027_ESL,SingleIndexSpline_v1,0.358740,1
pmlb/1027_ESL,SingleIndexSpline_v2,0.358740,2
pmlb/1027_ESL,GreedyMedianHinge_v1,0.370812,31
pmlb/1027_ESL,RobustAdaptiveLinear_v1,0.361024,4
pmlb/1027_ESL,SparseAdditiveHingeRidge_v1,0.375672,44
pmlb/1027_ESL,LinearBoostedRules_v1,0.366592,23
pmlb/1027_ESL,SparseMeanHingeAdditive_v1,0.369072,28
pmlb/1027_ESL,SplitLinearModelTree_v1,0.361991,15
pmlb/1027_ESL,OrthogonalRidgeEquation_v1,0.361967,14
pmlb/1027_ESL,SparseAdaptiveSplineRidge_v1,0.372574,34
pmlb/1027_ESL,SparseLinearRuleBoost_v1,0.366512,22
pmlb/1028_SWD,PyGAM,0.805003,14
pmlb/1028_SWD,DT_mini,0.832135,53
pmlb/1028_SWD,DT_large,0.793244,5
pmlb/1028_SWD,OLS,0.814927,40
pmlb/1028_SWD,LassoCV,0.814599,37
pmlb/1028_SWD,RidgeCV,0.814285,31
pmlb/1028_SWD,RF,0.785704,3
pmlb/1028_SWD,GBM,0.784908,2
pmlb/1028_SWD,MLP,0.798779,10
pmlb/1028_SWD,FIGS_mini,0.805813,16
pmlb/1028_SWD,FIGS_large,0.789555,4
pmlb/1028_SWD,RuleFit,0.818640,43
pmlb/1028_SWD,HSTree_mini,0.829304,52
pmlb/1028_SWD,HSTree_large,0.798450,9
pmlb/1028_SWD,EBM,0.798100,7
pmlb/1028_SWD,TabPFN,0.784088,1
pmlb/1028_SWD,DecisionTreeSimple,0.821595,47
pmlb/1028_SWD,SparseHingeAdd_v1,0.806978,19
pmlb/1028_SWD,SparseSymbolicGreedy_v1,0.825490,50
pmlb/1028_SWD,AnchorSplineOMP_v1,0.810766,26
pmlb/1028_SWD,ResidualKnotRidge_v1,0.812055,27
pmlb/1028_SWD,SplitSparseLinear_v1,0.814778,39
pmlb/1028_SWD,SparseKnotLinear_v2,0.824886,49
pmlb/1028_SWD,CompactResidualSpline_v1,0.833717,54
pmlb/1028_SWD,SparseAdditiveKnot_v1,0.822033,48
pmlb/1028_SWD,CompactRuleLinear_v1,0.813412,30
pmlb/1028_SWD,ResidualBasisRidge_v1,0.798272,8
pmlb/1028_SWD,SparseResidualHybrid_v1,0.807246,22
pmlb/1028_SWD,ValidatedSymbolicResidual_v1,0.797981,6
pmlb/1028_SWD,SparseRidgeOneHinge_v1,0.810406,25
pmlb/1028_SWD,DenseBackboneHingePair_v1,0.806220,17
pmlb/1028_SWD,ScreenedAdaptiveBasis_v1,0.804758,13
pmlb/1028_SWD,SparseQuantizedKnot_v1,0.857357,58
pmlb/1028_SWD,SymbolicResidualHybridDense_v1,0.839544,56
pmlb/1028_SWD,BackfitHingeGAM_v1,2.279629,60
pmlb/1028_SWD,ProjectedSplineResidual_v1,0.933519,59
pmlb/1028_SWD,SparseSignedHingeDict_v1,0.820835,45
pmlb/1028_SWD,SparsePairwiseSpline_v1,0.846951,57
pmlb/1028_SWD,QuantizedAdaptiveRidge_v1,0.814381,32
pmlb/1028_SWD,QuantizedAdaptiveRidge_v2,0.814381,33
pmlb/1028_SWD,DenseRidgeOneKnot_v1,,
pmlb/1028_SWD,DenseRidgeOneKnot_v2,0.807239,21
pmlb/1028_SWD,LinearStepRule_v1,0.805678,15
pmlb/1028_SWD,TwinHingeAdditiveRidge_v1,0.806552,18
pmlb/1028_SWD,AdditiveStepRidge_v1,0.821124,46
pmlb/1028_SWD,ScoreSplineLinear_v1,0.814587,34
pmlb/1028_SWD,AdaptiveStepLinear_v1,0.814587,35
pmlb/1028_SWD,DebiasedSparseLinear_v1,0.814927,41
pmlb/1028_SWD,SpectralRidgeCV_v1,0.814587,36
pmlb/1028_SWD,ResidualStumpRidge_v1,0.814741,38
pmlb/1028_SWD,SingleIndexSpline_v1,0.809334,23
pmlb/1028_SWD,SingleIndexSpline_v2,0.809334,24
pmlb/1028_SWD,GreedyMedianHinge_v1,0.828693,51
pmlb/1028_SWD,RobustAdaptiveLinear_v1,0.815691,42
pmlb/1028_SWD,SparseAdditiveHingeRidge_v1,0.819941,44
pmlb/1028_SWD,LinearBoostedRules_v1,0.807008,20
pmlb/1028_SWD,SparseMeanHingeAdditive_v1,0.801306,12
pmlb/1028_SWD,SplitLinearModelTree_v1,0.834684,55
pmlb/1028_SWD,OrthogonalRidgeEquation_v1,0.812766,29
